iter	Passed	Remaining
0	27	8266
1	48	7215
2	62	6190
3	74	5548
4	84	4966
5	94	4647
6	108	4526
7	123	4490
8	144	4659
9	167	4864
10	187	4937
11	199	4779
12	206	4559
13	215	4400
14	223	4244
15	230	4086
16	235	3923
17	242	3803
18	254	3762
19	263	3688
20	268	3573
21	273	3450
22	278	3353
23	282	3246
24	286	3154
25	290	3066
26	295	2989
27	299	2909
28	303	2835
29	308	2772
30	313	2719
31	317	2662
32	322	2605
33	326	2557
34	331	2507
35	337	2472
36	342	2432
37	349	2406
38	352	2361
39	362	2353
40	367	2319
41	372	2288
42	376	2252
43	381	2222
44	387	2195
45	393	2172
46	398	2142
47	403	2115
48	408	2094
49	413	2068
50	418	2044
51	423	2021
52	428	1999
53	433	1976
54	439	1957
55	444	1935
56	449	1915
57	453	1893
58	457	1870
59	462	1850
60	468	1836
61	473	1818
62	478	1798
63	484	1784
64	488	1765
65	494	1754
66	503	1752
67	508	1734
68	513	1719
69	519	1705
70	524	1691
71	532	1686
72	538	1673
73	543	1660
74	551	1654
75	556	1641
76	565	1636
77	571	1626
78	575	1611
79	584	1606
80	588	1589
81	592	1574
82	599	1566
83	603	1550
84	606	1534
85	612	1523
86	616	1510
87	620	1494
88	624	1479
89	630	1470
90	633	1455
91	637	1440
92	641	1427
93	648	1421
94	653	1410
95	659	1401
96	664	1391
97	671	1383
98	676	1372
99	684	1368
100	688	1356
101	694	1347
102	698	1336
103	702	1323
104	709	1317
105	713	1305
106	717	1294
107	724	1287
108	729	1278
109	734	1268
110	742	1263
111	746	1253
112	751	1243
113	757	1235
114	761	1225
115	765	1214
116	770	1204
117	775	1195
118	779	1185
119	783	1175
120	790	1168
121	793	1158
122	798	1148
123	805	1142
124	809	1132
125	812	1121
126	817	1113
127	823	1106
128	827	1097
129	831	1086
130	837	1080
131	842	1072
132	847	1064
133	855	1059
134	858	1049
135	862	1039
136	870	1036
137	874	1026
138	878	1017
139	883	1010
140	890	1004
141	895	995
142	903	991
143	908	984
144	913	976
145	920	971
146	925	963
147	931	956
148	937	949
149	941	941
150	945	933
151	951	926
152	955	917
153	959	909
154	966	904
155	971	896
156	974	887
157	982	882
158	986	874
159	990	867
160	997	860
161	1001	853
162	1005	844
163	1010	837
164	1016	831
165	1019	823
166	1024	816
167	1031	810
168	1035	802
169	1040	795
170	1047	790
171	1051	782
172	1055	775
173	1063	770
174	1067	762
175	1071	755
176	1077	748
177	1081	741
178	1086	734
179	1093	729
180	1099	722
181	1104	716
182	1112	711
183	1117	704
184	1123	698
185	1129	692
186	1136	686
187	1146	682
188	1152	676
189	1161	672
190	1167	666
191	1174	660
192	1180	654
193	1188	649
194	1196	644
195	1202	637
196	1209	632
197	1214	625
198	1221	619
199	1228	614
200	1232	607
201	1239	601
202	1243	594
203	1246	586
204	1250	579
205	1256	573
206	1260	566
207	1263	558
208	1268	552
209	1273	545
210	1277	538
211	1280	531
212	1287	525
213	1291	518
214	1294	511
215	1298	504
216	1303	498
217	1307	491
218	1310	484
219	1314	478
220	1320	472
221	1324	465
222	1327	458
223	1332	452
224	1337	445
225	1340	438
226	1344	432
227	1350	426
228	1354	419
229	1358	413
230	1362	407
231	1369	401
232	1373	394
233	1376	388
234	1382	382
235	1385	375
236	1388	369
237	1392	362
238	1398	356
239	1402	350
240	1405	344
241	1409	337
242	1414	331
243	1419	325
244	1422	319
245	1425	313
246	1430	307
247	1435	300
248	1438	294
249	1442	288
250	1446	282
251	1450	276
252	1454	270
253	1457	263
254	1462	258
255	1466	252
256	1469	245
257	1473	239
258	1479	234
259	1483	228
260	1486	222
261	1489	216
262	1495	210
263	1499	204
264	1503	198
265	1509	192
266	1514	187
267	1518	181
268	1521	175
269	1528	169
270	1532	164
271	1536	158
272	1539	152
273	1544	146
274	1548	140
275	1551	134
276	1555	129
277	1560	123
278	1563	117
279	1568	112
280	1571	106
281	1575	100
282	1578	94
283	1584	89
284	1587	83
285	1591	77
286	1594	72
287	1601	66
288	1604	61
289	1608	55
290	1611	49
291	1618	44
292	1623	38
293	1626	33
294	1632	27
295	1637	22
296	1641	16
297	1646	11
298	1651	5
299	1654	0
